" (no data)"," (no data)"
"&copy; Magento Inc., %s<br />v%s","&copy; Magento Inc., %s<br />v%s"
"(now)","(now)"
"Action","Action"
"Active Class Rewrites","Active Class Rewrites"
"Actual Children Count","Actual Children Count"
"Actual Level","Actual Level"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Additional Attribute Table","Additional Attribute Table"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"All","All"
"All Admin Events","All Admin Events"
"All Configurable Cron Jobs","All Configurable Cron Jobs"
"All Eav Attributes","All Eav Attributes"
"All Global Cron Jobs","All Global Cron Jobs"
"All Global Events","All Global Events"
"All Modules List","All Modules List"
"All processes should be complete","All processes should be complete"
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again."
"An error occurred while mass deleting the system reports. Please review log and try again.","An error occurred while mass deleting the system reports. Please review log and try again."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"And more...","And more..."
"Apache Loaded Modules","Apache Loaded Modules"
"Apache Version","Apache Version"
"Applied Solutions List","Applied Solutions List"
"Are you sure you want to delete the backup?","Are you sure you want to delete the backup?"
"Are you sure you want to delete the system report?","Are you sure you want to delete the system report?"
"Are you sure you want to delete these system reports?","Are you sure you want to delete these system reports?"
"Associated Tags","Associated Tags"
"Attribute Flags:","Attribute Flags:"
"Attribute Model","Attribute Model"
"Attribute Types:","Attribute Types:"
"Back","Back"
"Backend Model","Backend Model"
"Backup ID: ","Backup ID: "
"Backup Log Details","Backup Log Details"
"Banners","Banners"
"Base Currency","Base Currency"
"Base Secured URL","Base Secured URL"
"Base Unsecured URL","Base Unsecured URL"
"CMS Pages","CMS Pages"
"Cache","Cache"
"Cache Status","Cache Status"
"Cannot delete backup","Cannot delete backup"
"Cannot save backup","Cannot save backup"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Catalog Price Rules","Catalog Price Rules"
"Categories, Products","Categories, Products"
"Category Attributes","Category Attributes"
"Category Eav Attributes","Category Eav Attributes"
"Chose Report Types","Chose Report Types"
"Class","Class"
"Class Rewrite Conflicts","Class Rewrite Conflicts"
"Code","Code"
"Code Dump","Code Dump"
"Code Pool","Code Pool"
"Collapse","Collapse"
"Collation","Collation"
"Column %s","Column %s"
"Columns:","Columns:"
"Comment","Comment"
"Commit","Commit"
"Compilation","Compilation"
"Compiled","Compiled"
"Compiler Status","Compiler Status"
"Complete","Complete"
"Config Version","Config Version"
"Configuration","Configuration"
"Constraints:","Constraints:"
"Controller Rewrites","Controller Rewrites"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Core Action(s)","Core Action(s)"
"Core Admin Events","Core Admin Events"
"Core Cache Records","Core Cache Records"
"Core Cache Tags","Core Cache Tags"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Controller","Core Controller"
"Core File","Core File"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Core Global Events","Core Global Events"
"Core Modules List","Core Modules List"
"Core Pool","Core Pool"
"Corrupted Categories Data","Corrupted Categories Data"
"Corrupted Data","Corrupted Data"
"Count","Count"
"Create","Create"
"Create System Report","Create System Report"
"Create Time","Create Time"
"Created At","Created At"
"Cron","Cron"
"Cron Expression","Cron Expression"
"Cron Schedules List","Cron Schedules List"
"Cron Schedules by job code","Cron Schedules by job code"
"Cron Schedules by status code","Cron Schedules by status code"
"Current Package Name","Current Package Name"
"Custom Action(s)","Custom Action(s)"
"Custom Admin Events","Custom Admin Events"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Controller","Custom Controller"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Custom Global Events","Custom Global Events"
"Custom Modules List","Custom Modules List"
"Custom Pool","Custom Pool"
"Customer Address Attributes","Customer Address Attributes"
"Customer Address Eav Attributes","Customer Address Eav Attributes"
"Customer Attributes","Customer Attributes"
"Customer Eav Attributes","Customer Eav Attributes"
"Customer ID","Customer ID"
"Customer Segment Functionality","Customer Segment Functionality"
"Customer Segments","Customer Segments"
"Customers","Customers"
"DB Data Version","DB Data Version"
"DB Dump","DB Dump"
"DB MyISAM Tables Status","DB MyISAM Tables Status"
"DB Routines List","DB Routines List"
"DB Table Prefix","DB Table Prefix"
"DB Tables","DB Tables"
"DB Tables Status","DB Tables Status"
"DB Triggers List","DB Triggers List"
"DB Version","DB Version"
"Data","Data"
"Data Count","Data Count"
"Data from app/etc/config.xml","Data from app/etc/config.xml"
"Data from app/etc/enterprise.xml","Data from app/etc/enterprise.xml"
"Data from app/etc/local.xml","Data from app/etc/local.xml"
"Date","Date"
"Date Generated","Date Generated"
"Default Store","Default Store"
"Default Store View","Default Store View"
"Default Theme","Default Theme"
"Delete","Delete"
"Description","Description"
"Design","Design"
"Design Themes Config","Design Themes Config"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Disabled","Disabled"
"Disabled Modules List","Disabled Modules List"
"Document Root","Document Root"
"Download","Download"
"Duplicate Categories by URL key","Duplicate Categories by URL key"
"Duplicate Orders By Increment ID","Duplicate Orders By Increment ID"
"Duplicate Products By SKU","Duplicate Products By SKU"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"Email","Email"
"Empty log","Empty log"
"Enable Log","Enable Log"
"Enabled","Enabled"
"Engine","Engine"
"Enterprise Admin Events","Enterprise Admin Events"
"Enterprise Configurable Cron Jobs","Enterprise Configurable Cron Jobs"
"Enterprise Global Cron Jobs","Enterprise Global Cron Jobs"
"Enterprise Global Events","Enterprise Global Events"
"Enterprise Modules List","Enterprise Modules List"
"Entity","Entity"
"Entity Type Code","Entity Type Code"
"Entity Types","Entity Types"
"Environment","Environment"
"Environment Information","Environment Information"
"Error","Error"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Event Name","Event Name"
"Events","Events"
"Executed At","Executed At"
"Expand","Expand"
"Expected Children Count","Expected Children Count"
"Expected Level","Expected Level"
"Extra","Extra"
"Factory Name","Factory Name"
"Failed","Failed"
"File","File"
"File Name","File Name"
"File Rewrites","File Rewrites"
